Date,Open,High,Low,Close,Adj Close,Volume
2022-08-16,200.000000,203.740005,199.070007,202.160004,196.469009,306800
2022-08-17,200.250000,201.919998,199.000000,200.380005,194.739120,286000
2022-08-18,201.199997,201.429993,198.889999,200.339996,194.700211,206300
2022-08-19,198.050003,199.850006,197.220001,197.979996,192.406662,212300
2022-08-22,196.470001,197.259995,193.750000,194.070007,188.606750,228600
2022-08-23,193.940002,194.880005,193.360001,193.580002,188.130539,257100
2022-08-24,192.300003,194.000000,191.009995,192.429993,187.012894,208000
2022-08-25,193.729996,196.160004,193.160004,194.910004,189.423096,179100
2022-08-26,194.839996,194.929993,191.789993,191.850006,186.449234,196400
2022-08-29,190.100006,195.000000,188.130005,193.229996,187.790375,335400
2022-08-30,193.880005,194.399994,189.130005,190.330002,184.972031,265300
2022-08-31,190.119995,192.960007,189.270004,191.320007,185.934158,230800
2022-09-01,190.949997,191.339996,188.100006,190.860001,185.487106,223400
2022-09-02,192.839996,194.399994,190.339996,191.309998,185.924423,192400
2022-09-06,194.240005,194.800003,186.610001,188.369995,183.067184,266600
2022-09-07,188.720001,189.550003,187.110001,188.139999,182.843689,194400
2022-09-08,187.720001,191.009995,187.240005,190.169998,184.816528,253900
2022-09-09,191.089996,196.759995,191.080002,195.369995,189.870148,258500
2022-09-12,196.660004,200.130005,196.589996,198.460007,192.873169,288400
2022-09-13,195.350006,197.520004,192.690002,193.199997,187.761246,266400
2022-09-14,194.320007,194.570007,187.279999,191.220001,185.836990,284800
2022-09-15,190.449997,194.130005,190.449997,192.520004,187.100372,233200
2022-09-16,189.559998,191.360001,187.729996,190.860001,185.487106,703000
2022-09-19,189.660004,192.229996,188.630005,191.960007,186.556152,223900
2022-09-20,191.710007,192.899994,189.940002,191.289993,185.904999,291800
2022-09-21,191.000000,193.240005,187.860001,187.860001,182.571579,218000
2022-09-22,187.710007,188.880005,179.029999,179.509995,174.456619,426300
2022-09-23,177.210007,177.440002,171.830002,175.880005,170.928802,276900
2022-09-26,174.639999,175.809998,169.940002,170.039993,165.253220,358700
2022-09-27,172.160004,172.860001,167.339996,168.479996,163.737106,220300
2022-09-28,169.139999,171.970001,168.389999,170.440002,165.641953,259300
2022-09-29,169.289993,169.289993,164.360001,166.729996,162.036392,181800
2022-09-30,166.479996,169.380005,165.899994,166.850006,162.153015,324400
2022-10-03,167.830002,173.250000,166.669998,172.740005,167.877228,454800
2022-10-04,174.080002,178.759995,173.889999,178.679993,173.649963,373300
2022-10-05,176.970001,180.089996,175.619995,178.380005,173.358429,297000
2022-10-06,178.320007,179.690002,175.899994,176.199997,171.239792,294700
2022-10-07,174.350006,175.330002,171.750000,173.389999,168.508896,406000
2022-10-10,174.059998,175.500000,172.179993,172.330002,167.478760,373200
2022-10-11,171.009995,174.679993,169.509995,171.089996,166.273651,339600
2022-10-12,170.729996,171.809998,168.789993,168.839996,164.086990,338300
2022-10-13,168.190002,176.000000,166.020004,175.399994,170.462311,419500
2022-10-14,176.789993,178.199997,171.839996,172.199997,167.352402,308100
2022-10-17,174.460007,177.889999,173.979996,177.419998,172.425446,375700
2022-10-18,180.690002,185.289993,179.130005,184.940002,179.733765,495800
2022-10-19,184.970001,187.759995,180.720001,182.960007,177.809509,325300
2022-10-20,182.410004,185.029999,180.570007,181.839996,176.721039,315700
2022-10-21,183.119995,184.740005,181.630005,184.179993,178.995148,212400
2022-10-24,185.059998,186.440002,183.289993,185.949997,180.715317,281000
2022-10-25,186.300003,191.550003,186.300003,191.179993,185.798096,408800
2022-10-26,191.169998,192.860001,184.740005,185.520004,180.297440,481900
2022-10-27,186.190002,187.050003,178.440002,178.500000,173.475052,556400
2022-10-28,179.059998,182.289993,177.520004,180.979996,175.885239,598400
2022-10-31,180.429993,180.919998,168.910004,171.300003,166.477737,956600
2022-11-01,174.520004,179.389999,173.470001,176.360001,171.395294,427700
2022-11-02,174.210007,175.000000,169.389999,170.809998,166.001526,563400
2022-11-03,168.539993,168.779999,163.100006,164.410004,159.781708,576200
